사용일자,노선번호,노선명,역명,승차총승객수,하차총승객수
20231225,505,505번(노온사동~서울역),갈월동(00054),95,19
20231225,505,505번(노온사동~서울역),남영역(00044),7,104
20231225,505,505번(노온사동~서울역),남영역(00057),51,17
20231225,505,505번(노온사동~서울역),용산전자상가17동(00059),24,47
20231225,505,505번(노온사동~서울역),용산전자상가19동(00042),25,18
20231225,505,505번(노온사동~서울역),용산전자상가10동(00060),96,60
20231225,505,505번(노온사동~서울역),용산전자상가12동(00041),63,113
20231225,505,505번(노온사동~서울역),용산전자상가.전자랜드(00040),63,65
20231225,505,505번(노온사동~서울역),갈월동(00046),29,121
20231225,505,505번(노온사동~서울역),용산전자상가.전자랜드(00061),56,35
20231225,505,505번(노온사동~서울역),원효대교북단(00039),61,84
20231225,505,505번(노온사동~서울역),문배동이안아파트앞(00043),12,55
20231225,505,505번(노온사동~서울역),숙대입구역(00045),20,186
20231225,505,505번(노온사동~서울역),갈월동4호선숙대입구(00055),38,13
20231225,505,505번(노온사동~서울역),숙대입구(00056),139,25
20231225,505,505번(노온사동~서울역),문배동이안아파트앞(00058),48,24
20231225,505,505번(노온사동~서울역),원효대교북단(00062),76,22
20231225,505,505번(노온사동~서울역),문성초등학교(00026),123,117
20231225,505,505번(노온사동~서울역),문성초등학교(00073),115,138
20231225,505,505번(노온사동~서울역),금천우체국(00025),165,130
20231225,505,505번(노온사동~서울역),금천우체국(00074),146,125
20231225,505,505번(노온사동~서울역),말미고개.금천소방서(00024),94,111
20231225,505,505번(노온사동~서울역),구로디지털단지역(00072),573,154
20231225,505,505번(노온사동~서울역),말미고개.금천소방서(00075),79,122
20231225,505,505번(노온사동~서울역),금천구청.금천경찰서(00023),151,137
20231225,505,505번(노온사동~서울역),금천구청.금천경찰서(00076),102,69
20231225,505,505번(노온사동~서울역),시흥사거리.시흥대교(00077),278,121
20231225,505,505번(노온사동~서울역),시흥대교(00022),41,109
20231225,505,505번(노온사동~서울역),강남성심병원.대림성모병원(00070),97,123
20231225,505,505번(노온사동~서울역),서울영림초등학교(00071),82,89
20231225,505,505번(노온사동~서울역),경남아너스빌아파트(00069),52,87
20231225,505,505번(노온사동~서울역),보라매공원(00068),42,74
20231225,505,505번(노온사동~서울역),보라매역.동작세무서(00067),112,118
20231225,505,505번(노온사동~서울역),서울지방병무청(00066),40,103
20231225,505,505번(노온사동~서울역),시범아파트.대교아파트(00063),67,94
20231225,505,505번(노온사동~서울역),시범아파트(00038),52,33
20231225,505,505번(노온사동~서울역),KBS별관(00064),157,102
20231225,505,505번(노온사동~서울역),샛강역.앙카라공원(00036),29,100
20231225,505,505번(노온사동~서울역),공군호텔(00065),88,152
20231225,505,505번(노온사동~서울역),동작상떼빌아파트(00028),56,49
