노선번호,하차총승객수
01A,9756
01B,4364
100,11790
101,12330
1014,5488
1017,2558
102,8371
1020,4155
103,8451
104,8819
105,8836
106,7224
107,6665
109,3546
110A,8880
110B,10316
111,3348
1111,7873
1113,1283
1114,943
1115,1185
1116,968
1119,6073
1120,2912
1122,4156
1124,1097
1126,6327
1127,2682
1128,4922
1129,591
1130,1902
1131,1325
1132,8002
1133,2606
1135,2826
1136,1700
1137,7359
1138,1976
1139,4186
1140,1214
1141,1511
1142,7162
1143,1731
1144,1711
1154,5023
1155,4386
1162,2520
1164,4546
1165,7797
1167,4987
120,15016
121,8689
1213,6030
1218,6401
1221,1241
1222,3730
1224,9910
1226,135
1227,3009
130,19587
140,14463
141,10827
142,15289
143,24390
144,13150
145,10695
146,16178
147,14135
148,11074
150,13693
151,13084
152,18640
160,17871
162,11472
163,15565
17,3799
171,10024
1711,9200
172,9115
173,7883
201,7162
2012,6439
2013,3690
2014,5432
2015,9074
2016,11027
202,16071
2112,5807
2113,3072
2114,3173
2115,8312
2211,8998
2212,1640
2221,5460
2222,3237
2224,3883
2227,7223
2230,8177
2233,5841
2236,2955
2311,6739
2312,5369
240,8636
241,8063
2412,7538
2413,3412
2415,3736
2416,5111
242,4664
260,12979
261,14792
262,16236
270,11978
271,21548
272,21922
273,18388
301,13368
3011,4312
302,11144
303,14614
320,10824
3212,2538
3214,4318
3216,7537
3217,8837
3220,6844
3313,6125
3314,5280
3315,13630
3316,3346
3317,3737
3318,7495
3319,2746
3321,3662
3322,4917
3323,1016
333,7903
340,14821
341,7039
3411,7329
3412,5473
3413,12592
3414,5379
3416,3355
3417,5012
342,7305
3420,5358
3422,1886
3426,2878
343,3858
345,7267
350,5627
360,14803
361,4101
370,14959
400,7908
401,8840
402,12475
405,6012
406,6092
411,4434
420,15449
421,17733
4211,6162
4212,13712
4312,7378
4318,14856
4319,6348
440,7168
441,7027
4425,4034
4432,3657
4433,1721
4435,2307
452,10562
461,12458
463,10880
470,9563
472,12674
500,9499
501,8343
5012,6068
502,6966
503,4225
504,14648
505,7594
506,9496
507,8300
540,8880
541,6243
5413,10783
542,3435
5511,4245
5513,3293
5515,7255
5516,6593
5517,5602
5519,1805
5522A,4997
5522B,3393
5523,4027
5524,13765
5525,1574
5528,5196
5530,10572
5531,15872
5535,8243
5536,6431
5537,1688
5611,983
5615,5797
5616,6220
5617,2860
5618,7618
5619,5489
5620,9048
5621,4148
5623,13412
5625,7070
5626,9534
5627,3264
5630,2801
5633,6632
5634,2819
571,8984
5712,13257
5713,8481
5714,16166
600,10269
601,9196
602,10453
603,9123
604,8422
605,9985
606,6371
6211,9100
640,7294
641,11404
6411,7269
643,14372
650,8055
651,9567
6511,2821
6512,7237
6514,10255
6515,12094
6516,3933
652,10470
653,2926
654,8160
660,4420
661,5109
6613,2455
6614,3390
6615,1643
6616,3291
6617,2229
662,4278
6620,1924
6623,4406
6624,5499
6625,2565
6627,4543
6628,11918
6629,7407
6630,4091
6631,5869
6632,2562
6637,12895
6638,4813
6640A,3713
6640B,3548
6642,3412
6645,3158
6647,1792
6648,4099
6649,857
6654,1226
6657,1719
6712,3367
6713,4548
6714,3048
6715,5419
6716,8520
672,2518
673,4507
674,2540
700,6356
701,5249
7011,8390
7013A,1985
7013B,1750
7016,9114
7017,5646
7018,3496
7019,6009
7021,6623
7022,8794
7024,1974
7025,5688
702A,12802
702B,5864
703,4589
704,8125
705,5515
708,4386
710,6799
720,14927
721,15350
7211,10687
7212,11391
740,8554
741,10144
742,11408
750A,6420
750B,5963
752,11655
753,10276
760,3713
761,12233
7611,6646
7612,10443
7613,5250
771,2240
7711,1601
7713,3248
7715,5044
7719,782
7720,7319
7722,3021
7723,1981
7726,1295
7727,8562
7728,6222
773,7084
7730,5234
7734,11206
7737,5913
7738,4401
7739,2013
774,4556
8003,182
8146,1
8641,1
8772,691
8774,992
8777,16
9401,8451
9403,1201
9404,963
9408,836
9409,177
9701,2995
9707,2479
9711,1450
9714,684
Jan-01,792
N13,1615
N15,1776
N16,1645
N26,1358
N30,669
N31,1015
N37,700
N51,1423
N61,1994
N62,1885
N64,993
N72,1396
N73,1303
N75,1556
강남01,1861
강남02,1834
강남03,1857
강남05,2456
강남06,4274
강남06-2,1167
강남07,2140
강남08,582
강남10,1022
강동01,3644
강동02,3006
강동05,4997
강북01,2397
강북02,2595
강북03,2043
강북04,1713
강북05,5230
강북06,4838
강북08,946
강북09,4607
강북10,2241
강북11,4533
강북12,1381
강서01,2805
강서02,575
강서03,2881
강서04,1522
강서05,6459
강서05-1,203
강서06,1721
강서07,117
관악01,4670
관악02,4016
관악03,4781
관악04,3926
관악05,3463
관악06,4750
관악07,2042
관악08,4842
관악10,5250
관악11,661
광진01,1858
광진02,522
광진03,4082
광진04,2436
광진05,6315
구로01,3161
구로02,1456
구로03,2906
구로04,1545
구로05,2653
구로06,1918
구로07,1131
구로08,1719
구로09,3745
구로10,1980
구로11,1888
구로12,644
구로13,1475
구로14,477
구로15,274
금천01,7927
금천02,812
금천03,7851
금천04,1088
금천05,668
금천06,2008
금천07,1030
금천08,3468
금천11,625
노원01,614
노원02,4316
노원03,426
노원05,1536
노원08,2601
노원09,1111
노원11,1966
노원13,665
노원14,6529
노원15,6155
도봉01,1029
도봉02,3223
도봉03,1605
도봉04,1552
도봉05,3754
도봉06,2900
도봉07,3325
도봉08,695
도봉09,3943
동대문01,2297
동대문02,1487
동대문03,1746
동대문05,2078
동작01,9207
동작02,1481
동작03,912
동작05,1320
동작05-1,878
동작06,1506
동작07,1549
동작08,4455
동작09,2109
동작10,230
동작11,2141
동작12,1375
동작13,2451
동작14,387
동작15,1485
동작16,2040
동작17,1023
동작19,608
동작20,281
동작21,400
마포01,1939
마포02,887
마포03,1155
마포05,577
마포06,4165
마포07,1054
마포08,4611
마포09,6615
마포10,2290
마포11,1212
마포12,1519
마포13,499
마포15,1968
마포16,3914
마포17,1295
마포18,254
마포18-1,77
서대문01,2588
서대문02,2749
서대문03,6666
서대문04,661
서대문05,3894
서대문06,1811
서대문07,414
서대문08,805
서대문09,2128
서대문10,767
서대문11,2646
서대문12,1459
서대문13,995
서대문14,1371
서대문15,317
서초01,77
서초02,502
서초03,1409
서초05,63
서초06,144
서초07,646
서초08,1126
서초09,2255
서초10,1233
서초11,1045
